#0
fun, crew, great, lot, place, people, get, go, fuck, little, friendly, pretty, want, amazing, thing, couple, wait, surface, work, day, way, hour, try, know, need, right, busy, especially, ask, good, come, service, have, night, sit, like, food, fluffiness, review, parties, stop, high, free, carelessness, location, add, meal, new, customer, buy, area, tuesday, guy, road, money, saturday, flour, maybe, door, save, chicken, vegas, screw, live, star, beef, lucky, tequila, group, wish, flat, important, major, extra, fajitas, limo, chip, atmosphere, help, yesterday, half, today, friday, ride, taco, street, stand, correct, entrance, easy, husband, phone, lazy, nachos, bachelor, birthday, tire, hire, best, strip
clear, everybody, shout, steer, represent, know, experience, automotive, sure, need, lot, people, staff, trainee, go, way, friend, come, make, can, day, especially, tell, open, work, great, look, clean, like, away, walk, leave, table, time, pervert, good, say, pretty, place, recommend, visit, stop, meal, run, check, food, service, night, right, disinterest, keep, room, door, yard, money, free, feel, late, business, clearly, today, eat, hope, mind, friendly, vegas, understand, offer, company, opportunity, greet, awesome, excellent, change, meet, chicken, talk, strip, omnia, earlier, man, probably, consider, try, take, morning, new, owner, general, nice, floor, book, rep, guy, restaurant, note, professional, number, stick, performance

#14
guac, good, fajitas, meatloaf, food, salted, restaurant, try, come, accustomed, fajita, order, sizzling, pretty, nice, guacamole, look, like, service, dinner, delicious, think, aesthetically, starving, simmer, end, get, great, different, enjoy, serve, salsa, definitely, make, favorite, meal, price, little, home, overeat, know, want, amazing, time, love, overhang, probably, place, friend, table, fresh, menu, chip, taste, say, quality, share, huge, visit, mexican, tell, flavor, tortilla, give, sweet, finish, perfect, plate, small, thing, spicy, night, right, spot, corn, go, sour, salad, onion, pleasing, pepper, keep, money, steak, fried, long, return, maybe, bean, veggie, grill, meat, bite, light, margarita, able, overeating, recommend, entree, arrive

#15
bag, promise, properly, day, fri, say, behave, different, couple, leave, harley, tues, like, end, know, can, need, come, think, wait, thing, work, order, check, service, want, sure, get, use, offer, buy, happen, give, experience, new, later, pick, arrive, star, free, kind, yes, guy, wo, return, ready, purchase, set, man, care, make, lie, believe, issue, sign, dealer, receive, lock, simple, place, install, review, right, fact, separate, bother, yelp, operate, staff, vegas, price, fun, request, key, bike, follow, training, look, catch, stew, option, note, walk, phone, afraid, mean, own, seat, meal, rest, sound, ok, good, change, see, friend, chance, night, chicken, piece

#16
better, gelato, scoop, hallway, place, arcade, like, prop, cone, reality, time, day, know, imo, pretty, actually, little, come, good, love, people, leche, dulce, right, recommend, look, favorite, hour, can, delicious, sit, great, bring, stracciatella, have, town, waffle, money, vegas, spot, yes, food, unlimited, dessert, guess, reason, matter, kinda, summer, value, oreo, rib, fall, winter, rarely, remember, outside, buffet, pool, ok, door, amazed, hesitant, honestly, tradition, bbq, kid, personal, nacho, gotta, obviously, overpriced, cheesecake, write, spring, sadly, secret, vow, gem, pizza, continue, blueberry, ldelicious, duck, panther, hide, flag, pup, stadium, pathway, id, ward, connect, clemson, ramma, picka, brandie, hamdulila, dippa, taisting

#17
guarantee, slide, courtesy, object, reiterate, let, deductible, way, endeavor, know, want, hour, fundraising, wether, fling, walk, make, tell, bad, day, price, expect, time, can, charitable, work, good, great, stop, overall, come, people, get, try, family, star, maybe, leave, need, clean, wait, worth, food, hope, hot, business, nice, hard, order, month, company, tasty, ask, event, shit, common, rest, support, love, rock, perfect, smell, seat, local, scratch, pretty, taste, write, amazing, reputation, water, drop, bathroom, respond, promote, style, customer, tax, temperature, dinner, loss, moment, hop, cold, meal, usually, sale, gain, waitress, instead, reservation, filter, shady, go, catch, cut, community, disappointed, literally, headache

#18
glow, sufficient, ponzu, assault, eagerly, prominent, diluted, service, food, like, good, look, return, beef, little, place, poor, choose, customer, time, quick, lose, have, bit, deal, dinner, owner, great, sweet, small, terrible, decent, pick, order, salad, flavor, friend, sushi, reason, meal, ayce, get, night, come, shame, include, go, bright, arrive, leave, hey, eat, dish, white, pack, fresh, sauce, vegetable, long, choice, rude, perfectly, cheese, roll, drink, thing, salmon, lack, add, business, mini, rice, print, new, crunch, yellowtail, accept, probably, carte, cream, digestive, chicken, take, piece, mind, gourmet, complimentary, ask, nice, start, lady, sure, yellow, outside, decor, plate, crab, say, exceptional, menu

#19
cent, pump, debit, trustworthy, intrusive, principle, vaguely, thing, debacle, know, coldstone, pay, let, dinner, place, try, amarena, like, use, friend, time, good, customer, see, big, go, wait, take, little, hear, care, nice, point, card, order, fresh, call, actually, recommend, location, want, highly, amazing, staff, bad, leave, meal, service, forget, experience, different, business, star, maybe, ask, check, favorite, drink, great, understand, caramelo, love, happy, beautifully, excellent, food, stand, plus, charge, spot, need, item, ps, wrong, flavor, problem, odd, second, come, home, hope, menu, case, decor, agree, ga, attention, view, honest, course, dry, product, occasion, night, butter, rate, hold, date, dining, friendly

#20
hall, oily, pillow, slip, sens, criminal, willy, fingerprint, tornado, cheapskate, duration, like, sure, skunk, pretty, sit, overall, come, give, thing, bit, see, big, get, time, miffed, feel, start, eat, bad, huge, look, nice, good, place, hear, pay, little, away, walk, take, leave, go, day, especially, check, service, price, bring, food, people, stop, need, stay, ask, wish, know, room, think, turn, work, say, love, expect, friendly, mind, short, star, want, maybe, server, delicious, light, order, family, set, high, great, outside, offer, fill, quick, staff, menu, old, close, counter, serve, course, restaurant, hard, yelp, house, tell, business, enjoy, ton, home, option, recommend

#21
coffee, good, playing, nice, league, day, ask, service, come, food, know, bring, eat, get, town, free, oh, fan, wish, plus, outside, tell, room, italian, soccer, weekend, hold, give, time, hand, extra, pay, think, hotel, course, night, check, line, read, point, ticket, want, month, go, apparently, say, stay, tone, away, email, review, run, late, inform, voucher, mgm, finally, credit, receipt, book, um, fact, pass, take, surprise, staff, brittany, charge, number, deal, krystle, clean, bottle, actual, reservation, seriously, incidental, card, week, busy, peter, include, industry, yesterday, send, deliver, unidentifiable, bug, accomodating, receive, unorganized, tax, borawski, couple, dollar, short, wtf, supremely, kind, alcohol

#22
sushi, eat, sashimi, tempura, good, favorite, roll, great, place, order, tuna, come, service, dinner, pretty, nice, delicious, price, food, fresh, overall, thing, worth, lot, get, restaurant, friend, sit, look, can, love, try, couple, give, ask, serve, friendly, tell, joshua, probably, know, bit, busy, say, call, sauce, staff, feel, recommend, meal, far, leave, server, sweet, need, spicy, head, fan, spot, point, high, perfect, seat, add, awesome, bring, dessert, excellent, usually, oh, night, home, beef, job, green, yelp, complain, mean, fun, white, crispy, shrimp, hope, ambiance, free, waiter, one, hard, scallop, uni, poke, plenty, drive, strip, sign, wonderful, half, joint, walk, guy

#23
away, walk, block, right, needless, want, open, try, look, feel, like, tasteful, get, shitty, eat, come, start, blanco, visit, doom, food, flu, place, thing, time, nauseous, delicioso, leave, know, restaurant, order, good, think, jalisco, menu, turn, eventful, service, oh, maybe, meal, customer, little, night, experience, money, fact, job, server, quality, ask, later, god, new, area, hope, hour, minute, vegas, meat, sit, notice, mexican, stomach, usually, bite, mediocre, wo, decide, unfortunately, intense, feeling, staleness, water, fine, save, plate, lunch, fresh, rice, demand, thank, quick, ok, stuff, fry, impression, bean, valley, burrito, great, version, carlos, hand, flat, annoyed, burger, pleasure, regret, headache

#24
iced, gorgeous, smooth, decorate, element, nicely, love, plating, way, wong, little, openness, nice, visit, day, sure, restaurant, repurposed, delicious, fresh, people, sweet, need, place, service, hot, work, tien, night, hard, tea, beautiful, probably, use, meet, greet, man, lovely, succulent, pot, chicken, absolutely, efficient, fast, tender, gem, roll, natural, notice, texture, thai, seafood, sour, chon, clubber, pannini, teaspresso, pocketsizedelle, aquired, kalologie, interrior, staffers, lunar, whaaaaa, setiing, pickier, definalty, shet, dissappered, loveeeeeee, coif, soufflet, arounds, aand, optimize, fatouche, narai, depthness, ramma, artiste, unpredictability, spadoni, eq, magnifier, taramisu, gua, basalmic, correlation, mazatlan, schrewd, trival, picka, bates, dippa, corodisone, herbally, brandie, asymmetry, hamdulila, teardown

#25
pm, lose, open, substitute, time, go, people, customer, finally, like, work, come, know, annoyance, wait, bad, see, unprofessionalism, decide, make, ask, leave, nice, place, good, pretty, restaurant, eat, need, look, food, order, service, head, menu, great, maybe, favorite, kind, delicious, money, old, man, perfect, list, available, mind, outside, website, assume, understand, construction, explain, march, beautiful, lucky, az, rest, play, key, sandwich, shake, patio, chelsea, mexican, delish, fillet, store, lime, taco, remodel, pie, burrito, pork, fully, exceptable, serviceskills, armed, operational, car, vegas, castle, spot, hope, enjoy, middle, novelty, want, compare, las, beauty, building, afar, disneyland, princess, return, feel, ramma, asymmetry, pickier

#26
leave, taxi, bad, take, different, long, walk, get, bit, go, know, hour, want, like, traveller, big, lot, people, staff, try, time, good, far, family, wait, member, hotel, can, service, ride, great, think, feel, place, amazing, vegas, office, single, extremely, roll, huge, greet, reason, care, let, recommend, store, work, love, wide, desire, business, doctor, deep, remember, give, look, worth, driver, game, entire, come, owner, plan, smile, little, stay, listen, end, positive, treat, sake, see, coupon, need, floor, conversation, own, day, treatment, pretty, experience, compare, follow, right, help, point, restaurant, night, price, month, taste, short, area, star, pick, item, suppose, thing, name

#27
communicate, motel, magical, tiffany, tweak, baseboard, mlife, discreet, charging, brassy, zillion, folding, seizure, caliente, infest, insect, ahhhhhh, tiff, flashing, legging, people, mane, nice, year, unsecured, know, experience, start, hear, diming, way, good, knows, stay, let, repetition, place, hour, time, want, look, walk, room, small, love, close, quality, thing, say, deafen, epileptic, work, bad, give, go, run, visit, long, hard, night, high, turn, need, new, include, watch, bed, day, awesome, able, ask, maybe, like, hand, pay, base, mention, floor, warm, right, resort, request, get, review, house, tell, truly, bug, service, take, hit, website, price, cheap, feel, manager, bottle, poker, big, towel

#28
majority, coworkers, affect, mario, elevate, fist, subtitle, wonderland, expect, try, decide, batali, visit, different, sure, thing, lot, serve, good, menu, restaurant, work, worth, think, hear, people, choose, raviolini, food, friend, taste, time, especially, come, run, pretty, like, nice, right, away, person, recommend, order, go, enjoy, take, place, finish, hard, flavor, feel, huge, delicious, little, ask, selection, dish, probably, let, meal, way, definitely, pay, table, available, large, small, bad, fyi, touch, love, long, slightly, spicy, simple, finally, depth, control, can, give, attentive, disappointment, able, cheap, tell, stuff, drink, sweet, know, strong, level, maybe, traditional, beer, expectation, eat, meat, wine, usually, recently

#29
street, find, hardly, lot, tikka, big, bit, place, cornish, think, work, time, go, favorite, end, restaurant, expect, stop, couple, worth, day, noticeably, gong, eat, like, people, overall, thing, need, way, year, good, order, get, want, meal, little, say, large, share, menu, ask, plan, location, remember, month, vegas, staff, theme, late, dish, masala, happy, guy, rice, bang, parking, area, old, unique, come, real, store, dessert, server, live, seasoned, interesting, attentive, example, hit, table, pepper, trouble, indian, flavor, night, cool, wo, perfectly, butter, food, punch, question, salt, spice, second, knowledge, read, beer, bite, evening, cauliflower, tiny, suggestion, able, creamy, quick, offer, sample

#30
explain, greet, excited, extraordinary, open, visit, peruvian, ask, pio, go, make, service, edition, amazing, work, great, like, new, serve, fan, close, server, family, base, point, quick, chicken, house, sauce, minute, smile, counter, receive, highly, bean, rice, best, dish, waitress, number, city, treat, recommendation, accompany, viva, company, recommend, charge, stain, help, say, easy, price, removed, low, rental, scheduling, room, patch, bedroom, teaspresso, salsitas, killapilz, whaaaaa, laing, belay, staffers, griffen, optimize, kalologie, clubber, loveeeeeee, depthness, holdover, aquired, mumus, asymmetry, foodborne, dippa, ramma, pinochle, lieberman, nicolette, pannini, carle, spammed, advisability, taisting, unpredictability, spadoni, chubs, magnifier, gua, vd, basalmic, mazatlan, hamdulila, picka, brandie, pickier

#31
prawn, burgh, fulfil, aesthetic, rebuild, saloon, rename, jun, urinal, prospect, corpse, iberico, dissipate, colourful, payouts, tingle, ting, lot, menu, place, finally, order, restaurant, bad, unholy, taste, week, right, crapped, small, big, leave, open, love, head, great, think, come, long, bit, wait, good, want, bowl, have, food, experience, seat, meal, plate, chain, close, try, opt, make, lunch, know, fact, check, pretty, star, hotel, fresh, let, salad, warn, beautiful, learn, thing, tasty, trip, definitely, worth, like, visit, eat, early, special, cheap, overall, oh, away, get, local, store, life, coconut, remember, tell, end, recommend, go, fall, piece, cuisine, soup, walk, call, inside, casino

#32
dragon, grapefruit, multitude, umami, liqueur, pina, sampling, puerco, elegantly, avacado, elderflower, favorite, mercadito, love, try, amazing, cheeky, serve, good, drink, preferance, zeppolis, maggi, fresh, definitely, bitters, like, menu, meal, food, come, visit, pepino, great, sauce, table, order, think, start, fan, thing, flavor, oh, taste, rice, enjoy, open, nice, black, sample, service, recommend, cucumber, delicious, pork, fall, plate, place, know, cocktail, mean, time, light, wait, big, entree, dessert, new, dish, braise, edamame, seriously, spicy, unique, fry, caramel, red, space, right, main, hot, sure, appetizer, salt, dinner, lunch, staff, glass, usual, philadelphia, review, fabulous, job, cherry, bc, couple, item, triple, price, atmosphere

#33
replace, vega, vehicle, yelpers, service, amaze, need, recommend, look, come, keg, customer, time, pbr, good, go, take, definitely, great, can, day, get, like, place, friendly, home, end, amazing, nice, feel, stop, staff, escalade, bring, know, new, far, highly, deal, business, entire, later, hand, ball, thanks, restaurant, oil, las, buy, maintenance, wo, set, repair, change, floor, talk, serve, brand, red, thorough, high, wall, helpful, lifetime, eat, employee, see, future, cup, joke, detail, courteous, hole, cosmo, wife, school, jewelry, store, operation, piece, not, brake, explain, watch, pizza, information, curtis, ridiculous, ceramic, prolly, bmw, smog, autospa, tap, ring, collection, truly, scott, inventory, custom

#34
billy, gang, zesty, tattooed, mikes, longtime, customization, muffaletta, know, place, like, food, want, staff, thing, good, people, think, unique, way, go, star, graham, different, door, time, love, small, come, friendly, favorite, make, wrong, trash, price, sure, old, guy, service, size, lot, can, breakfast, area, restaurant, try, right, johns, garbage, get, location, busy, onion, enjoy, fry, deli, deserve, menu, better, ask, extremely, year, reasonably, wait, look, check, little, lunch, server, subway, platter, head, portion, item, long, cleanliness, inside, reason, option, realize, reuben, forget, member, meat, wo, flavor, mushroom, grit, everybody, rest, bowl, excellent, party, need, bit, today, assume, review, outside, eat

#35
dead, stretch, nonetheless, mole, painful, steady, cramp, think, landmark, possibility, pretty, lot, bit, right, portabello, strenuous, little, walk, handroll, potion, good, unfounded, identification, bad, feel, visit, place, go, cbw, thing, sure, hear, away, like, night, come, food, service, nice, big, turn, try, time, give, inside, look, restaurant, server, figure, enjoy, initial, busy, town, taste, boulder, hand, dinner, arrive, wait, learn, strong, drink, highly, great, reality, awesome, quickly, mexican, close, beer, fry, avoid, body, amazing, incline, pre, recommend, city, honestly, minute, equally, paved, ball, mushroom, hike, tower, friday, hit, menu, location, portion, moment, excellent, stand, star, pile, product, seasonal, concern, street

#36
call, cancel, technician, tell, come, say, day, try, vomit, heartbeat, ask, service, start, know, end, work, right, week, bellini, marys, take, sarcastically, wait, get, long, precede, busy, ivan, appts, let, gifted, visit, leave, like, staff, person, happen, month, house, figure, good, instead, offer, keep, star, include, holiday, new, go, explain, previous, christmas, great, course, feel, follow, thanks, yes, parvo, schedule, phone, guest, lady, food, reschedule, company, rude, open, absolutely, vet, nice, owner, wonderful, special, bunch, main, move, sound, hospital, disappointed, puppy, tail, story, fine, close, unlimited, bloody, cause, appetizer, soon, brunch, dinner, savory, salad, second, egg, excellent, cheese, saturday, office

#37
ball, pickle, earlier, angry, kimchi, stuck, bibimbap, end, get, week, turnip, like, start, time, huge, expect, tell, fart, experience, actually, come, pay, want, away, stop, go, give, leave, sit, great, check, ask, order, wait, walk, food, high, night, home, bring, close, busy, hour, good, offer, beef, maybe, turn, clean, feel, area, offence, quality, instead, bar, minute, rice, suppose, location, free, kind, head, room, strip, interior, book, level, smell, need, request, friend, stick, fact, finally, noodle, ready, weird, chinese, pickled, cold, horrible, suite, tip, watch, chance, parking, water, bit, bowl, read, soup, cashier, finish, bag, second, sure, happy, smoking, sautéed, casino

#38
awhile, sesame, overcooked, jerky, good, come, bad, get, headphone, try, oral, thing, like, go, worth, eco, take, overall, food, finally, zoom, friend, bit, nice, place, open, give, see, restaurant, dinner, denture, definitely, great, start, staff, eat, service, year, couple, wait, look, price, time, whitening, clean, decide, pretty, order, retainer, actually, work, let, call, choose, love, day, home, review, enjoy, way, tell, feel, valium, use, star, taste, new, spend, fresh, perfect, large, flavor, family, beef, ask, free, finish, chicken, bite, oh, visit, friendly, check, job, able, include, glad, walk, fact, sauce, point, hope, delicious, experience, maybe, yelp, slice, husband, minute, old

#39
independent, kevin, title, milo, sibling, capo, binkley, experience, give, bink, make, definitely, bring, good, come, choose, restaurant, nice, like, want, decide, place, say, job, try, bar, head, let, right, go, order, recommend, think, friend, business, sit, favorite, time, love, choice, friendly, cool, large, basically, finally, green, sauce, fry, cafe, great, know, person, mark, tell, excellent, oh, rave, inside, meal, strong, menu, bad, salad, actually, chicken, second, chef, instead, decision, cheese, mom, casual, chair, food, mushroom, mayo, lunch, city, feel, happen, share, ketchup, shade, yes, unfortunate, ruin, sandwich, dinner, dip, garlic, night, have, fish, ask, perfectly, sushi, server, advise, little, caramelize

#40
deal, discount, great, def, good, hr, sip, give, day, work, recommend, service, rex, thing, week, ask, long, visit, definitely, place, ipads, amazing, staff, busy, ahhhhh, friendly, andre, eat, food, quality, bring, town, yelp, quick, guy, return, fairly, mention, came, middle, vegas, thanks, strip, custom, seasoned, warm, foot, accommodating, consistent, repair, wonderful, massage, tea, lunch, bliss, soak, summer, saturday, grain, chili, itech, green, excellent, machaca, dog, ahead, solid, takeout, menudo, saturdays, standby, get, come, pack, reason, hey, bad, friend, pretty, know, close, ref, yeah, take, star, wait, picture, party, live, chicken, theirs, pls, actually, minute, rest, weekend, las, like, fatouche, aand

#41
scale, day, valentine, butcher, edit, wendy, esque, thanh, coarse, poppin, bit, casing, multitask, bad, good, food, overall, open, nice, look, people, lot, place, price, service, need, time, come, love, fresh, like, small, menu, pretty, sweet, restaurant, try, high, selection, friend, great, decent, close, meal, little, star, perfect, leave, old, go, ask, wait, minute, hit, deal, spot, eat, new, language, yelp, point, fat, shop, plenty, reasonable, run, feel, glass, add, crave, rush, guess, roll, speak, complain, happy, past, probably, cheap, ground, buck, strong, friendly, lunch, walk, chat, beef, hard, pro, tasty, delicious, pho, gorge, english, cook, orange, special, cold, sausage, bang

#42
ugh, addictive, schnitzel, submit, absent, involved, minded, abysmal, anthropologie, jackfruit, bitty, itty, godzilla, cutest, home, crabby, want, thing, tell, work, food, get, time, come, know, wait, order, meal, great, hear, long, can, leave, nice, good, taste, service, eat, delicious, fresh, pay, plate, year, perfect, place, helpful, try, expect, worth, help, go, live, employee, star, call, chicken, enjoy, restaurant, properly, hot, day, fry, definitely, wrong, bbq, open, joint, experience, pass, people, comfort, rough, friend, think, today, roll, right, salt, decor, refill, sandwich, new, generally, pho, need, make, party, spring, normal, pick, wine, host, fast, free, list, night, fit, adorable, review, chip

#43
review, read, chain, decide, like, experience, actually, way, big, out, go, good, scarf, try, say, walk, come, couple, work, thing, time, dinner, healthcare, probably, week, definitely, year, get, take, dedication, need, great, food, tell, nice, eat, feel, menu, away, place, call, want, stop, add, hear, yelp, look, new, maybe, meal, sauce, use, turn, include, taste, family, perfect, order, old, oh, flavor, area, greet, town, meet, bite, ask, close, happy, guy, offer, usually, selection, recommend, base, hour, seat, past, hold, cheese, sausage, leave, water, special, group, center, slice, bilo, surprised, careful, pork, bbq, item, near, start, drive, minute, eats, runny, perfectly

#44
